NAME_E,id,stateabrev,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"Fort Lauderdale, FL",1224000,FL,57,75,63,4,57,26,29,79,73,92,84,86,59,68,26,37,30,69,36,33,67
"Providence, RI",4459000,RI,52,95,32,63,3,9,97,65,49,18,45,1,1,95,77,89,98,95,63,66,9
"Newport News, VA",5156000,VA,35,63,31,10,58,26,36,72,63,46,87,71,19,35,66,59,45,85,92,93,66
"Rancho Cucamonga, CA",0659451,CA,79,25,81,16,82,43,27,10,10,25,38,73,93,2,2,1,64,14,97,19,94
"Santa Rosa, CA",0670098,CA,75,72,73,99,32,20,87,56,74,35,35,12,23,48,69,96,100,89,23,61,14
"Peoria, AZ",0454050,AZ,70,3,76,46,95,89,8,17,19,25,59,61,87,13,8,3,52,20,53,37,88
"Oceanside, CA",0653322,CA,86,29,83,92,90,73,38,51,86,1,72,40,35,12,29,100,83,84,26,82,81
"Elk Grove, CA",0622020,CA,83,40,92,98,97,70,44,15,45,8,9,47,63,19,11,23,66,29,6,3,75
"Salem, OR",4164900,OR,41,26,38,65,44,7,55,76,84,97,74,31,82,26,69,57,89,75,10,59,48
"Pembroke Pines, FL",1255775,FL,49,1,61,7,14,17,1,38,61,99,42,58,98,9,5,21,63,3,21,1,40
"Eugene, OR",4123850,OR,38,70,41,82,36,21,62,58,32,2,15,9,9,55,83,75,85,69,46,86,37
"Garden Grove, CA",0629000,CA,47,38,56,97,76,25,56,92,92,35,95,43,76,57,31,30,89,36,74,96,96
"Cary, NC",3710740,NC,78,12,86,49,68,95,12,17,11,31,31,44,96,79,6,7,38,13,15,3,79
"Fort Collins, CO",0827425,CO,61,47,65,79,61,71,85,32,25,39,55,12,71,28,36,58,61,7,19,60,18
"Corona, CA",0616350,CA,87,19,93,100,24,54,22,32,15,12,47,68,36,60,9,8,36,58,82,99,93
"Alexandria, VA",5101000,VA,100,55,98,83,89,44,69,3,3,10,56,18,40,55,12,36,6,63,80,95,93
"Hayward, CA",0633000,CA,91,59,88,94,71,73,60,20,25,6,5,33,38,38,21,98,71,65,95,6,89
"Clarksville, TN",4715160,TN,64,21,48,69,46,13,2,92,48,27,78,79,35,23,78,48,43,59,21,91,2
"Lakewood, CO",0843000,CO,51,49,66,81,84,77,66,18,41,5,91,21,25,18,63,97,95,71,12,99,90
"Lancaster, CA",0640130,CA,84,66,78,42,73,4,70,26,38,21,35,39,35,78,51,66,78,58,83,66,72
"Salinas, CA",0664224,CA,75,72,57,29,56,2,37,52,89,98,88,88,44,91,48,51,12,62,50,77,9
"Palmdale, CA",0655156,CA,86,43,86,67,95,3,18,13,9,55,61,92,56,31,23,16,12,41,78,94,81
"Hollywood, FL",1232000,FL,36,15,30,2,35,30,10,90,98,43,48,69,81,76,33,60,50,38,88,58,66
"Springfield, MA",2567000,MA,14,85,6,8,9,1,79,95,94,88,95,33,3,86,89,92,63,95,75,88,46
"Macon, GA",1349008,GA,6,51,8,13,21,98,18,80,78,85,12,91,42,81,73,73,11,49,26,8,43
"Kansas City, KS",2036000,KS,7,34,11,43,58,29,88,83,94,63,84,41,71,62,89,88,25,42,28,70,46
"Sunnyvale, CA",0677000,CA,98,28,95,98,99,51,34,48,40,7,83,21,70,38,1,3,55,73,18,5,94
